0,Sound,mus_zz_megalovania,20,,,,,,
0,SansHead,LookLeft,,,,,,,
0,SansTorso,Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansText,lol,,,,,,,
0,Sound,mus_zz_megalovania,1,,,,,,
0,Sound,Flash,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,30,0.5,0.3,,,,
0,GasterBlaster,2.5,0,0,189,246,0,0,0
0.5,HeartMode,0,,,,,,,
0,GasterBlaster,1,640,480,449,436,225,0.333,0.2
0,GasterBlaster,1,0,480,189,436,315,0.333,0.2
1.5,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,SansText,lol,,,,,,,
1.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.8,SansText,I love dance,,,,,,,
0,SansText,lol he he,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0.7,SansText,why you not die,,,,,,,
0,SansText,lol,,,,,,,
0,SansText,I will use…,,,,,,,
0,SansText,special attack ,,,,,,,
1.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0.7,SansText,ok I will use,,,,,,,
0,SansText,special attack ,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
1,SansText,Ready?,,,,,,,
0,SansHead,LookLeft,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,50,0.8,0.5,,,,
0,SansHead,NoEyes,,,,,,,
1,SansText,WTF!?!?!,,,,,,,
0,SansText,noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,Ding,,,,,,,
0,SansText,Fuck you!,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0.26666,SansSlam,3,,,,,,,
